rewards,avg_rewards
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-46.0,-49.6
-50.0,-49.6
-50.0,-49.6
-50.0,-49.6
-48.0,-49.4
-50.0,-49.4
-50.0,-49.4
-50.0,-49.4
-50.0,-49.4
-50.0,-49.4
-50.0,-49.8
-50.0,-49.8
-50.0,-49.8
-4.0,-45.2
-50.0,-45.4
-50.0,-45.4
-50.0,-45.4
-50.0,-45.4
-50.0,-45.4
-50.0,-45.4
-50.0,-45.4
-50.0,-45.4
-50.0,-45.4
-50.0,-50.0
-50.0,-50.0
-48.0,-49.8
-50.0,-49.8
-50.0,-49.8
-43.0,-49.1
-50.0,-49.1
-50.0,-49.1
-50.0,-49.1
-50.0,-49.1
-50.0,-49.1
-50.0,-49.1
-50.0,-49.3
-34.0,-47.7
-50.0,-47.7
-38.0,-47.2
-50.0,-47.2
-44.0,-46.6
-50.0,-46.6
-31.0,-44.7
-48.0,-44.5
-45.0,-44.0
-50.0,-44.0
-23.0,-42.9
-5.0,-38.4
-50.0,-39.6
-34.0,-38.0
-50.0,-38.6
-50.0,-38.6
-50.0,-40.5
-50.0,-40.7
-50.0,-41.2
-50.0,-41.2
-50.0,-43.9
-19.0,-45.3
-44.0,-44.7
-44.0,-45.7
-4.0,-41.1
-42.0,-40.3
-50.0,-40.3
-50.0,-40.3
-50.0,-40.3
-50.0,-40.3
-50.0,-40.3
-50.0,-43.4
-50.0,-44.0
-49.0,-44.5
-50.0,-49.1
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-49.0,-49.8
-50.0,-49.8
-45.0,-49.3
-50.0,-49.4
-50.0,-49.4
-50.0,-49.4
-20.0,-46.4
-50.0,-46.4
-50.0,-46.4
-50.0,-46.4
-50.0,-46.5
-29.0,-44.4
-50.0,-44.9
-50.0,-44.9
-11.0,-41.0
-5.0,-36.5
-44.0,-38.9
-50.0,-38.9
-50.0,-38.9
-44.0,-38.3
-50.0,-38.3
-22.0,-37.6
-45.0,-37.1
-47.0,-36.8
-50.0,-40.7
-50.0,-45.2
-14.0,-42.2
-47.0,-41.9
-20.0,-38.9
-45.0,-39.0
-50.0,-39.0
-45.0,-41.3
-50.0,-41.8
-10.0,-38.1
-50.0,-38.1
-37.0,-36.8
-50.0,-40.4
-49.0,-40.6
-50.0,-43.6
-50.0,-44.1
-50.0,-44.1
-48.0,-44.4
-50.0,-44.4
-35.0,-46.9
-50.0,-46.9
-50.0,-48.2
-50.0,-48.2
-45.0,-47.8
-42.0,-47.0
-2.0,-42.2
-46.0,-41.8
-24.0,-39.4
-50.0,-39.4
-50.0,-40.9
-10.0,-36.9
-38.0,-35.7
-50.0,-35.7
-50.0,-36.2
-46.0,-36.6
-50.0,-41.4
-11.0,-37.9
-50.0,-40.5
-44.0,-39.9
-50.0,-39.9
-18.0,-40.7
-49.0,-41.8
-50.0,-41.8
-50.0,-41.8
-50.0,-42.2
-50.0,-42.2
-16.0,-42.7
-16.0,-39.3
-50.0,-39.9
-19.0,-36.8
-50.0,-40.0
-50.0,-40.1
-50.0,-40.1
-50.0,-40.1
-48.0,-39.9
-50.0,-39.9
-50.0,-43.3
-50.0,-46.7
-47.0,-46.4
-50.0,-49.5
-39.0,-48.4
-50.0,-48.4
-49.0,-48.3
-29.0,-46.2
-50.0,-46.4
-50.0,-46.4
-50.0,-46.4
-50.0,-46.4
-50.0,-46.7
-50.0,-46.7
-50.0,-47.8
-5.0,-43.3
-17.0,-40.1
-5.0,-37.7
-50.0,-37.7
-50.0,-37.7
-9.0,-33.6
-50.0,-33.6
-50.0,-33.6
0.0,-28.6
-50.0,-28.6
-45.0,-32.6
-50.0,-35.9
-38.0,-39.2
-49.0,-39.1
-10.0,-35.1
-4.0,-34.6
-3.0,-29.9
-50.0,-29.9
-2.0,-30.1
-3.0,-25.4
-50.0,-25.9
-47.0,-25.6
-50.0,-26.8
-26.0,-24.5
-3.0,-23.8
-50.0,-28.4
-50.0,-33.1
-2.0,-28.3
-42.0,-32.3
-50.0,-37.0
-50.0,-37.0
-48.0,-37.1
-50.0,-37.1
-50.0,-39.5
-29.0,-42.1
-48.0,-41.9
-50.0,-41.9
-5.0,-42.2
-50.0,-43.0
-50.0,-43.0
-50.0,-43.0
-13.0,-39.5
-13.0,-35.8
-7.0,-31.5
-50.0,-33.6
-50.0,-33.8
-48.0,-33.6
-47.0,-37.8
-50.0,-37.8
-50.0,-37.8
-33.0,-36.1
-50.0,-39.8
-50.0,-43.5
-50.0,-47.8
-11.0,-43.9
-46.0,-43.5
-50.0,-43.7
-50.0,-44.0
-50.0,-44.0
-6.0,-39.6
-50.0,-41.3
-10.0,-37.3
-50.0,-37.3
-2.0,-32.5
-48.0,-36.2
-2.0,-31.8
-3.0,-27.1
-15.0,-23.6
-50.0,-23.6
-16.0,-24.6
-50.0,-24.6
-49.0,-28.5
-50.0,-28.5
-50.0,-33.3
-50.0,-33.5
-10.0,-34.3
-50.0,-39.0
-50.0,-42.5
-8.0,-38.3
-4.0,-37.1
-50.0,-37.1
-12.0,-33.4
-9.0,-29.3
-50.0,-29.3
-6.0,-24.9
-50.0,-28.9
-3.0,-24.2
-50.0,-24.2
-1.0,-23.5
-12.0,-24.3
-37.0,-23.0
-50.0,-26.8
-50.0,-30.9
-50.0,-30.9
-46.0,-34.9
-50.0,-34.9
-50.0,-39.6
-50.0,-39.6
-46.0,-44.1
-50.0,-47.9
-50.0,-49.2
-46.0,-48.8
-8.0,-44.6
-50.0,-44.6
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-45.0,-44.5
-50.0,-44.9
-50.0,-44.9
-48.0,-44.7
-50.0,-45.1
-50.0,-49.3
-6.0,-44.9
-50.0,-44.9
-3.0,-40.2
-50.0,-40.2
-50.0,-40.7
-9.0,-36.6
-11.0,-32.7
-47.0,-32.6
-47.0,-32.3
-50.0,-32.3
-50.0,-36.7
-50.0,-36.7
-50.0,-41.4
-50.0,-41.4
-50.0,-41.4
-50.0,-45.5
-50.0,-49.4
-50.0,-49.7
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-49.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-50.0
-50.0,-50.0
-49.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-49.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
