rewards,avg_rewards
-37.0,-37.0
-50.0,-43.5
-50.0,-45.666666666666664
-50.0,-46.75
-50.0,-47.4
-50.0,-47.833333333333336
-50.0,-48.142857142857146
-50.0,-48.375
-50.0,-48.55555555555556
-50.0,-48.7
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-49.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-46.0,-49.6
-50.0,-49.6
-50.0,-49.6
-50.0,-49.6
-46.0,-49.2
-45.0,-48.7
-50.0,-48.7
-42.0,-47.9
-50.0,-47.9
-38.0,-46.7
-50.0,-47.1
-50.0,-47.1
-50.0,-47.1
-46.0,-46.7
-50.0,-47.1
-49.0,-47.5
-50.0,-47.5
-43.0,-47.6
-39.0,-46.5
-47.0,-47.4
-50.0,-47.4
-50.0,-47.4
-50.0,-47.4
-50.0,-47.8
-50.0,-47.8
-50.0,-47.9
-48.0,-47.7
-43.0,-47.7
-50.0,-48.8
-50.0,-49.1
-38.0,-47.9
-44.0,-47.3
-46.0,-46.9
-42.0,-46.1
-50.0,-46.1
-49.0,-46.0
-45.0,-45.7
-44.0,-45.8
-41.0,-44.9
-50.0,-44.9
-39.0,-45.0
-39.0,-44.5
-38.0,-43.7
-32.0,-42.7
-16.0,-39.3
-14.0,-35.8
-39.0,-35.2
-9.0,-31.7
-31.0,-30.7
-5.0,-26.2
-46.0,-26.9
-33.0,-26.3
-38.0,-26.3
-38.0,-26.9
-45.0,-29.8
-40.0,-32.4
0.0,-28.5
-42.0,-31.8
-5.0,-29.2
-44.0,-33.1
-46.0,-33.1
-38.0,-33.6
0.0,-29.8
-29.0,-28.9
-4.0,-24.8
-42.0,-25.0
-21.0,-27.1
-44.0,-27.3
-4.0,-27.2
-46.0,-27.4
-30.0,-25.8
-5.0,-22.5
-37.0,-26.2
-41.0,-27.4
-4.0,-27.4
-1.0,-23.3
-2.0,-21.4
-6.0,-17.6
-4.0,-17.6
-27.0,-15.7
-8.0,-13.5
-4.0,-13.4
-2.0,-9.9
-4.0,-6.2
-3.0,-6.1
-2.0,-6.2
-5.0,-6.5
-4.0,-6.3
-4.0,-6.3
-3.0,-3.9
-4.0,-3.5
-3.0,-3.4
0.0,-3.2
-4.0,-3.2
-3.0,-3.2
-3.0,-3.3
-1.0,-2.9
-2.0,-2.7
-4.0,-2.7
-4.0,-2.8
-3.0,-2.7
-4.0,-2.8
-3.0,-3.1
-1.0,-2.8
-3.0,-2.8
-2.0,-2.7
-3.0,-2.9
-3.0,-3.0
-3.0,-2.9
-1.0,-2.6
-3.0,-2.6
-2.0,-2.4
-2.0,-2.3
-3.0,-2.5
-3.0,-2.5
0.0,-2.3
0.0,-2.0
-1.0,-1.8
-3.0,-1.8
-3.0,-2.0
-1.0,-1.8
-1.0,-1.7
-3.0,-1.8
-3.0,-1.8
-3.0,-1.8
-3.0,-2.1
-3.0,-2.4
-3.0,-2.6
-5.0,-2.8
-4.0,-2.9
-4.0,-3.2
-3.0,-3.4
-1.0,-3.2
-3.0,-3.2
-3.0,-3.2
-1.0,-3.0
-1.0,-2.8
-2.0,-2.7
-3.0,-2.5
-2.0,-2.3
-2.0,-2.1
-2.0,-2.0
-2.0,-2.1
-1.0,-1.9
-3.0,-1.9
-1.0,-1.9
-2.0,-2.0
-2.0,-2.0
-5.0,-2.2
-2.0,-2.2
-2.0,-2.2
-2.0,-2.2
-2.0,-2.2
-2.0,-2.3
-2.0,-2.2
-2.0,-2.3
-2.0,-2.3
-3.0,-2.4
-3.0,-2.2
-3.0,-2.3
-2.0,-2.3
-4.0,-2.5
-3.0,-2.6
-2.0,-2.6
-3.0,-2.7
-3.0,-2.8
-3.0,-2.9
-3.0,-2.9
-3.0,-2.9
-3.0,-2.9
-3.0,-3.0
-2.0,-2.8
0.0,-2.5
-3.0,-2.6
-1.0,-2.4
-3.0,-2.4
-2.0,-2.3
-3.0,-2.3
-2.0,-2.2
-3.0,-2.2
-3.0,-2.2
-2.0,-2.2
-2.0,-2.4
-2.0,-2.3
-3.0,-2.5
-3.0,-2.5
-3.0,-2.6
0.0,-2.3
-2.0,-2.3
-2.0,-2.2
0.0,-1.9
-2.0,-1.9
-3.0,-2.0
-2.0,-2.0
0.0,-1.7
-2.0,-1.6
-3.0,-1.6
-1.0,-1.7
-2.0,-1.7
-3.0,-1.8
-1.0,-1.9
-3.0,-2.0
-2.0,-1.9
0.0,-1.7
-3.0,-2.0
-3.0,-2.1
0.0,-1.8
-2.0,-1.9
-2.0,-1.9
-2.0,-1.8
-2.0,-1.9
-3.0,-1.9
-1.0,-1.8
-2.0,-2.0
0.0,-1.7
-3.0,-1.7
-3.0,-2.0
-1.0,-1.9
-2.0,-1.9
-2.0,-1.9
-1.0,-1.8
0.0,-1.5
-3.0,-1.7
-4.0,-1.9
-3.0,-2.2
-3.0,-2.2
-2.0,-2.1
-3.0,-2.3
-1.0,-2.2
-3.0,-2.3
-2.0,-2.4
-1.0,-2.5
-2.0,-2.4
-3.0,-2.3
-2.0,-2.2
-4.0,-2.3
-3.0,-2.4
-3.0,-2.4
-2.0,-2.5
-3.0,-2.5
-2.0,-2.5
-1.0,-2.5
-2.0,-2.5
-2.0,-2.4
0.0,-2.2
-1.0,-1.9
-3.0,-1.9
-1.0,-1.7
-1.0,-1.6
0.0,-1.3
-3.0,-1.4
-3.0,-1.6
-1.0,-1.5
-2.0,-1.5
0.0,-1.5
-1.0,-1.5
-1.0,-1.3
-3.0,-1.5
0.0,-1.4
-3.0,-1.7
-1.0,-1.5
-3.0,-1.5
-3.0,-1.7
-2.0,-1.7
-2.0,-1.9
-1.0,-1.9
-2.0,-2.0
-2.0,-1.9
-1.0,-2.0
-2.0,-1.9
-2.0,-2.0
-2.0,-1.9
0.0,-1.6
-1.0,-1.5
-3.0,-1.6
-3.0,-1.8
-3.0,-1.9
-2.0,-1.9
-2.0,-2.0
-1.0,-1.9
-3.0,-2.0
-3.0,-2.1
-2.0,-2.3
-3.0,-2.5
-2.0,-2.4
-3.0,-2.4
-3.0,-2.4
-2.0,-2.4
-2.0,-2.4
-2.0,-2.5
-2.0,-2.4
-2.0,-2.3
-1.0,-2.2
-2.0,-2.1
-3.0,-2.2
-1.0,-2.0
-2.0,-1.9
-2.0,-1.9
-2.0,-1.9
-2.0,-1.9
-2.0,-1.9
-1.0,-1.8
-3.0,-2.0
-3.0,-2.1
-1.0,-1.9
-3.0,-2.1
-3.0,-2.2
-12.0,-3.2
-2.0,-3.2
-2.0,-3.2
-3.0,-3.3
-1.0,-3.3
-1.0,-3.1
-1.0,-2.9
0.0,-2.8
-3.0,-2.8
-3.0,-2.8
-3.0,-1.9
-3.0,-2.0
-2.0,-2.0
-2.0,-1.9
0.0,-1.8
-3.0,-2.0
-3.0,-2.2
-2.0,-2.4
-2.0,-2.3
-2.0,-2.2
-3.0,-2.2
-3.0,-2.2
-2.0,-2.2
-2.0,-2.2
-3.0,-2.5
-2.0,-2.4
-2.0,-2.3
-3.0,-2.4
-1.0,-2.3
-1.0,-2.2
-3.0,-2.2
-3.0,-2.2
-2.0,-2.2
-2.0,-2.2
-2.0,-2.1
-1.0,-2.0
-2.0,-2.0
-1.0,-1.8
-1.0,-1.8
-3.0,-2.0
-3.0,-2.0
-2.0,-1.9
-2.0,-1.9
-2.0,-1.9
-2.0,-1.9
-3.0,-2.1
0.0,-1.9
-3.0,-2.1
-1.0,-2.1
-1.0,-1.9
-2.0,-1.8
-3.0,-1.9
0.0,-1.7
-2.0,-1.7
-1.0,-1.6
-3.0,-1.6
-1.0,-1.7
-3.0,-1.7
-3.0,-1.9
-2.0,-2.0
0.0,-1.8
-2.0,-1.7
-2.0,-1.9
-2.0,-1.9
-2.0,-2.0
-2.0,-1.9
-2.0,-2.0
-2.0,-1.9
-2.0,-1.8
0.0,-1.6
-2.0,-1.8
-2.0,-1.8
-1.0,-1.7
-3.0,-1.8
-2.0,-1.8
-1.0,-1.7
-2.0,-1.7
-3.0,-1.8
-2.0,-1.8
-2.0,-2.0
-1.0,-1.9
-2.0,-1.9
-2.0,-2.0
-1.0,-1.8
-2.0,-1.8
-1.0,-1.8
-1.0,-1.7
-2.0,-1.6
-2.0,-1.6
-2.0,-1.6
-3.0,-1.8
-2.0,-1.8
-2.0,-1.8
-2.0,-1.9
-3.0,-2.0
0.0,-1.9
-3.0,-2.1
-3.0,-2.2
-2.0,-2.2
-6.0,-2.6
-3.0,-2.6
-2.0,-2.6
-1.0,-2.5
-2.0,-2.5
-2.0,-2.4
-3.0,-2.7
-1.0,-2.5
-2.0,-2.4
-1.0,-2.3
-3.0,-2.0
0.0,-1.7
-2.0,-1.7
-2.0,-1.8
-3.0,-1.9
-3.0,-2.0
-2.0,-1.9
-3.0,-2.1
0.0,-1.9
-1.0,-1.9
-3.0,-1.9
-3.0,-2.2
-2.0,-2.2
-3.0,-2.3
-1.0,-2.1
-3.0,-2.1
-3.0,-2.2
0.0,-1.9
-2.0,-2.1
-2.0,-2.2
-2.0,-2.1
-2.0,-2.0
0.0,-1.8
-2.0,-1.7
-2.0,-1.8
-2.0,-1.7
-2.0,-1.6
-2.0,-1.8
-1.0,-1.7
-1.0,-1.6
-2.0,-1.6
-1.0,-1.5
-1.0,-1.6
-3.0,-1.7
-3.0,-1.8
-1.0,-1.7
-1.0,-1.6
-2.0,-1.6
-2.0,-1.7
-1.0,-1.7
-2.0,-1.7
-3.0,-1.9
-3.0,-2.1
-3.0,-2.1
0.0,-1.8
-2.0,-1.9
0.0,-1.8
-3.0,-1.9
-1.0,-1.8
-2.0,-1.9
-1.0,-1.8
-3.0,-1.8
-2.0,-1.7
-2.0,-1.6
-3.0,-1.9
-21.0,-3.8
-2.0,-4.0
-3.0,-4.0
-3.0,-4.2
-2.0,-4.2
-1.0,-4.2
-1.0,-4.0
-3.0,-4.1
-2.0,-4.1
-2.0,-4.0
-3.0,-2.2
-2.0,-2.2
-2.0,-2.1
-2.0,-2.0
-3.0,-2.1
-1.0,-2.1
-1.0,-2.1
-3.0,-2.1
-3.0,-2.2
-1.0,-2.1
-2.0,-2.0
-3.0,-2.1
-2.0,-2.1
-1.0,-2.0
-2.0,-1.9
-2.0,-2.0
0.0,-1.9
-2.0,-1.8
0.0,-1.5
-2.0,-1.6
-3.0,-1.7
-3.0,-1.7
-3.0,-1.8
-1.0,-1.8
-3.0,-1.9
-1.0,-1.8
-3.0,-2.1
-1.0,-2.0
-2.0,-2.2
-1.0,-2.1
-2.0,-2.0
-1.0,-1.8
-2.0,-1.7
-2.0,-1.8
-2.0,-1.7
-2.0,-1.8
-2.0,-1.7
-1.0,-1.7
-3.0,-1.8
-3.0,-2.0
-2.0,-2.0
0.0,-1.9
-1.0,-1.8
-2.0,-1.8
-3.0,-1.9
-1.0,-1.8
-2.0,-1.8
-2.0,-1.9
-3.0,-1.9
-3.0,-1.9
-2.0,-1.9
-1.0,-2.0
-2.0,-2.1
-1.0,-2.0
-3.0,-2.0
-3.0,-2.2
-2.0,-2.2
-3.0,-2.3
-2.0,-2.2
-2.0,-2.1
-1.0,-2.0
-2.0,-2.1
-2.0,-2.1
-1.0,-2.1
-2.0,-2.0
-2.0,-1.9
-1.0,-1.8
-3.0,-1.8
-2.0,-1.8
-1.0,-1.7
-1.0,-1.7
-3.0,-1.8
-2.0,-1.8
-2.0,-1.9
-1.0,-1.8
-1.0,-1.7
0.0,-1.6
-3.0,-1.6
-2.0,-1.6
-1.0,-1.6
-3.0,-1.8
-2.0,-1.7
-2.0,-1.7
0.0,-1.5
-3.0,-1.7
-1.0,-1.7
-1.0,-1.8
-2.0,-1.7
-2.0,-1.7
-3.0,-1.9
-2.0,-1.8
-2.0,-1.8
0.0,-1.6
-1.0,-1.7
-2.0,-1.6
-3.0,-1.8
-3.0,-2.0
0.0,-1.8
-1.0,-1.7
-2.0,-1.6
-1.0,-1.5
-16.0,-2.9
-1.0,-3.0
-2.0,-3.1
-2.0,-3.1
-2.0,-3.0
-3.0,-3.0
-1.0,-3.1
-3.0,-3.3
-3.0,-3.4
-2.0,-3.5
-3.0,-2.2
-1.0,-2.2
-1.0,-2.1
-2.0,-2.1
-2.0,-2.1
0.0,-1.8
-2.0,-1.9
0.0,-1.6
-3.0,-1.6
0.0,-1.4
-1.0,-1.2
-2.0,-1.3
-2.0,-1.4
0.0,-1.2
-3.0,-1.3
-2.0,-1.5
-1.0,-1.4
0.0,-1.4
-2.0,-1.3
-2.0,-1.5
-1.0,-1.5
-2.0,-1.5
-1.0,-1.4
0.0,-1.4
-3.0,-1.4
-1.0,-1.3
-2.0,-1.4
-3.0,-1.7
-3.0,-1.8
-3.0,-1.9
-1.0,-1.9
-3.0,-2.0
-3.0,-2.2
-1.0,-2.3
-2.0,-2.2
-2.0,-2.3
-2.0,-2.3
-3.0,-2.3
-3.0,-2.3
-2.0,-2.2
-3.0,-2.4
0.0,-2.1
-2.0,-2.0
-2.0,-2.1
-2.0,-2.1
-1.0,-2.0
0.0,-1.8
-2.0,-1.7
-3.0,-1.7
-2.0,-1.7
0.0,-1.4
-1.0,-1.5
0.0,-1.3
0.0,-1.1
-3.0,-1.2
-2.0,-1.3
-2.0,-1.5
-1.0,-1.4
0.0,-1.1
-3.0,-1.2
-3.0,-1.5
-2.0,-1.6
-2.0,-1.8
-2.0,-2.0
-2.0,-1.9
-3.0,-2.0
-1.0,-1.9
-2.0,-2.0
0.0,-2.0
-3.0,-2.0
-1.0,-1.8
-2.0,-1.8
-1.0,-1.7
-1.0,-1.6
-2.0,-1.6
-1.0,-1.4
0.0,-1.3
-2.0,-1.3
-2.0,-1.5
-1.0,-1.3
0.0,-1.2
-2.0,-1.2
-3.0,-1.4
-2.0,-1.5
-2.0,-1.5
-2.0,-1.6
-3.0,-1.9
-2.0,-1.9
-2.0,-1.9
