rewards,avg_rewards
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-44.0,-49.142857142857146
-50.0,-49.25
-50.0,-49.333333333333336
-50.0,-49.4
-47.0,-49.1
-50.0,-49.1
-50.0,-49.1
-48.0,-48.9
-48.0,-48.7
-50.0,-48.7
-50.0,-49.3
-50.0,-49.3
-50.0,-49.3
-50.0,-49.3
-50.0,-49.6
-46.0,-49.2
-50.0,-49.2
-50.0,-49.4
-47.0,-49.3
-50.0,-49.3
-50.0,-49.3
-50.0,-49.3
-50.0,-49.3
-50.0,-49.3
-50.0,-49.3
-47.0,-49.4
-50.0,-49.4
-50.0,-49.4
-50.0,-49.7
-50.0,-49.7
-50.0,-49.7
-50.0,-49.7
-50.0,-49.7
-50.0,-49.7
-50.0,-49.7
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-49.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-49.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-50.0,-49.9
-48.0,-49.7
-50.0,-49.7
-50.0,-49.7
-50.0,-49.7
-48.0,-49.6
-50.0,-49.6
-50.0,-49.6
-50.0,-49.6
-42.0,-48.8
-50.0,-48.8
-50.0,-49.0
-50.0,-49.0
-44.0,-48.4
-50.0,-48.4
-43.0,-47.9
-50.0,-47.9
-50.0,-47.9
-50.0,-47.9
-50.0,-48.7
-48.0,-48.5
-50.0,-48.5
-50.0,-48.5
-50.0,-49.1
-44.0,-48.5
-50.0,-49.2
-50.0,-49.2
-50.0,-49.2
-33.0,-47.5
-50.0,-47.5
-50.0,-47.7
-50.0,-47.7
-50.0,-47.7
-50.0,-47.7
-50.0,-48.3
-50.0,-48.3
-3.0,-43.6
-50.0,-43.6
-50.0,-45.3
-50.0,-45.3
-50.0,-45.3
-48.0,-45.1
-45.0,-44.6
-45.0,-44.1
-45.0,-43.6
-50.0,-43.6
-50.0,-48.3
-34.0,-46.7
-50.0,-46.7
-47.0,-46.4
-49.0,-46.3
-50.0,-46.5
-50.0,-47.0
-50.0,-47.5
-50.0,-48.0
-50.0,-48.0
-50.0,-48.0
-50.0,-49.6
-50.0,-49.6
-48.0,-49.7
-50.0,-49.8
-46.0,-49.4
-19.0,-46.3
-47.0,-46.0
-50.0,-46.0
-50.0,-46.0
-50.0,-46.0
-50.0,-46.0
-50.0,-46.0
-50.0,-46.2
-50.0,-46.2
-50.0,-46.6
-37.0,-48.4
-9.0,-44.6
-3.0,-39.9
-48.0,-39.7
-50.0,-39.7
-16.0,-36.3
-50.0,-36.3
-50.0,-36.3
-48.0,-36.1
-50.0,-36.1
-1.0,-32.5
-46.0,-36.2
-36.0,-39.5
-50.0,-39.7
-44.0,-39.1
-39.0,-41.4
-1.0,-36.5
-2.0,-31.7
-11.0,-28.0
-1.0,-23.1
-4.0,-23.4
-20.0,-20.8
-3.0,-17.5
-50.0,-17.5
-3.0,-13.4
-41.0,-13.6
-30.0,-16.5
-2.0,-16.5
-3.0,-15.7
-3.0,-15.9
-3.0,-15.8
-7.0,-14.5
-2.0,-14.4
-3.0,-9.7
-8.0,-10.2
-4.0,-6.5
-4.0,-3.9
-3.0,-4.0
-4.0,-4.1
0.0,-3.8
0.0,-3.5
-1.0,-2.9
-4.0,-3.1
-44.0,-7.2
-47.0,-11.1
-4.0,-11.1
-50.0,-15.7
-5.0,-15.9
-16.0,-17.1
-30.0,-20.1
-1.0,-20.2
-4.0,-20.5
-2.0,-20.3
0.0,-15.9
-2.0,-11.4
-1.0,-11.1
-4.0,-6.5
-3.0,-6.3
-46.0,-9.3
-4.0,-6.7
0.0,-6.6
-2.0,-6.4
-3.0,-6.5
0.0,-6.5
0.0,-6.3
-3.0,-6.5
-44.0,-10.5
-12.0,-11.4
-42.0,-11.0
-2.0,-10.8
-3.0,-11.1
-3.0,-11.2
-2.0,-11.1
-2.0,-11.3
-35.0,-14.8
-2.0,-14.7
-4.0,-10.7
-1.0,-9.6
-5.0,-5.9
-8.0,-6.5
-4.0,-6.6
-5.0,-6.8
-2.0,-6.8
-3.0,-6.9
-3.0,-3.7
0.0,-3.5
-4.0,-3.5
-3.0,-3.7
-4.0,-3.6
-46.0,-7.4
-2.0,-7.2
-22.0,-8.9
-39.0,-12.6
-2.0,-12.5
-1.0,-12.3
-3.0,-12.6
-2.0,-12.4
-2.0,-12.3
-5.0,-12.4
-31.0,-10.9
-28.0,-13.5
-2.0,-11.5
-2.0,-7.8
-5.0,-8.1
0.0,-8.0
-2.0,-7.9
-1.0,-7.8
-2.0,-7.8
-1.0,-7.4
-4.0,-4.7
-13.0,-3.2
0.0,-3.0
0.0,-2.8
-5.0,-2.8
-3.0,-3.1
-2.0,-3.1
-2.0,-3.2
-1.0,-3.1
-2.0,-3.2
-4.0,-3.2
-32.0,-5.1
-6.0,-5.7
-3.0,-6.0
-2.0,-5.7
-1.0,-5.5
-2.0,-5.5
-3.0,-5.6
-1.0,-5.6
-3.0,-5.7
-3.0,-5.6
-4.0,-2.8
-48.0,-7.0
-3.0,-7.0
-2.0,-7.0
-1.0,-7.0
-4.0,-7.2
-2.0,-7.1
-5.0,-7.5
-2.0,-7.4
-2.0,-7.3
-49.0,-11.8
-50.0,-12.0
-49.0,-16.6
-2.0,-16.6
-1.0,-16.6
-6.0,-16.8
-3.0,-16.9
-4.0,-16.8
-4.0,-17.0
-4.0,-17.2
-42.0,-16.5
-2.0,-11.7
-11.0,-7.9
-50.0,-12.7
-44.0,-17.0
-46.0,-21.0
-22.0,-22.9
-8.0,-23.3
-38.0,-26.7
-5.0,-26.8
-3.0,-22.9
-1.0,-22.8
0.0,-21.7
-2.0,-16.9
-12.0,-13.7
-1.0,-9.2
-3.0,-7.3
-1.0,-6.6
-20.0,-4.8
-4.0,-4.7
-4.0,-4.8
-3.0,-5.0
-2.0,-5.2
-1.0,-5.1
-25.0,-6.4
-50.0,-11.3
-28.0,-13.8
-46.0,-18.3
-2.0,-16.5
-2.0,-16.3
-25.0,-18.4
-2.0,-18.3
-1.0,-18.2
-3.0,-18.4
-1.0,-16.0
-3.0,-11.3
-50.0,-13.5
-3.0,-9.2
-2.0,-9.2
-3.0,-9.3
-2.0,-7.0
-4.0,-7.2
-50.0,-12.1
-2.0,-12.0
-5.0,-12.4
-2.0,-12.3
-2.0,-7.5
-2.0,-7.4
-2.0,-7.4
-48.0,-11.9
-3.0,-12.0
-5.0,-12.1
0.0,-7.1
-48.0,-11.7
-36.0,-14.8
-20.0,-16.6
-46.0,-21.0
-50.0,-25.8
-50.0,-30.6
-17.0,-27.5
-37.0,-30.9
-50.0,-35.4
0.0,-35.4
-3.0,-30.9
-33.0,-30.6
-6.0,-29.2
-48.0,-29.4
-1.0,-24.5
-2.0,-19.7
-3.0,-18.3
-3.0,-14.9
0.0,-9.9
-2.0,-10.1
-5.0,-10.3
-1.0,-7.1
-2.0,-6.7
-2.0,-2.1
-2.0,-2.2
-1.0,-2.1
-2.0,-2.0
-1.0,-1.8
-1.0,-1.9
-1.0,-1.8
-2.0,-1.5
-3.0,-1.7
-3.0,-1.8
-4.0,-2.0
-1.0,-1.9
-5.0,-2.3
-1.0,-2.2
