rewards,avg_rewards
-20.0,-20.0
-50.0,-35.0
-50.0,-40.0
-50.0,-42.5
-50.0,-44.0
-50.0,-45.0
-50.0,-45.714285714285715
-50.0,-46.25
-50.0,-46.666666666666664
-50.0,-47.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-27.0,-47.7
-50.0,-47.7
-50.0,-47.7
-50.0,-47.7
-50.0,-47.7
-50.0,-47.7
-50.0,-47.7
-50.0,-47.7
-50.0,-47.7
-17.0,-44.4
-50.0,-46.7
-48.0,-46.5
-50.0,-46.5
-50.0,-46.5
-50.0,-46.5
-50.0,-46.5
-50.0,-46.5
-50.0,-46.5
-50.0,-46.5
-50.0,-49.8
-50.0,-49.8
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-23.0,-47.3
-50.0,-47.3
-50.0,-47.3
-50.0,-47.3
-50.0,-47.3
-50.0,-47.3
-50.0,-47.3
-50.0,-47.3
-50.0,-47.3
-50.0,-47.3
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-35.0,-48.5
-50.0,-48.5
-50.0,-48.5
-50.0,-48.5
-50.0,-48.5
-50.0,-48.5
-50.0,-48.5
-50.0,-48.5
-50.0,-48.5
-50.0,-48.5
-41.0,-49.1
-50.0,-49.1
-50.0,-49.1
-50.0,-49.1
-50.0,-49.1
-50.0,-49.1
-41.0,-48.2
-50.0,-48.2
-35.0,-46.7
-50.0,-46.7
-50.0,-47.6
-50.0,-47.6
-50.0,-47.6
-50.0,-47.6
-50.0,-47.6
-50.0,-47.6
-50.0,-48.5
-50.0,-48.5
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-48.0,-49.8
-50.0,-49.8
-50.0,-49.8
-39.0,-48.7
-42.0,-47.9
-50.0,-47.9
-50.0,-47.9
-50.0,-47.9
-29.0,-45.8
-32.0,-44.0
-50.0,-44.2
-50.0,-44.2
-50.0,-44.2
-50.0,-45.3
-3.0,-41.4
-50.0,-41.4
-50.0,-41.4
-50.0,-41.4
-50.0,-43.5
-44.0,-44.7
-50.0,-44.7
-50.0,-44.7
-10.0,-40.7
-48.0,-40.5
-38.0,-44.0
-50.0,-44.0
-21.0,-41.1
-50.0,-41.1
-50.0,-41.1
-22.0,-38.9
-47.0,-38.6
-41.0,-37.7
-50.0,-41.7
-50.0,-41.9
-50.0,-43.1
-50.0,-43.1
-49.0,-45.9
-50.0,-45.9
-8.0,-41.7
-50.0,-44.5
-6.0,-40.4
-47.0,-41.0
-50.0,-41.0
-50.0,-41.0
-48.0,-40.8
-49.0,-40.7
-50.0,-40.8
-50.0,-40.8
-50.0,-45.0
-48.0,-44.8
-47.0,-48.9
-50.0,-49.2
-50.0,-49.2
-47.0,-48.9
-32.0,-47.3
-12.0,-43.6
-50.0,-43.6
-49.0,-43.5
-48.0,-43.3
-32.0,-41.7
-50.0,-42.0
-50.0,-42.0
-50.0,-42.0
-50.0,-42.3
-50.0,-44.1
-50.0,-47.9
-50.0,-47.9
-28.0,-45.8
-50.0,-46.0
-50.0,-47.8
