rewards,avg_rewards
-50.0,-50.0
-50.0,-50.0
-47.0,-49.0
-50.0,-49.25
-50.0,-49.4
-48.0,-49.166666666666664
-50.0,-49.285714285714285
-47.0,-49.0
-50.0,-49.111111111111114
-50.0,-49.2
-50.0,-49.2
-50.0,-49.2
-50.0,-49.5
-50.0,-49.5
-50.0,-49.5
-50.0,-49.7
-50.0,-49.7
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-46.0,-49.6
-50.0,-49.6
-48.0,-49.4
-50.0,-49.4
-50.0,-49.4
-50.0,-49.4
-50.0,-49.4
-50.0,-49.4
-50.0,-49.4
-50.0,-49.4
-47.0,-49.5
-48.0,-49.3
-50.0,-49.5
-50.0,-49.5
-50.0,-49.5
-50.0,-49.5
-50.0,-49.5
-50.0,-49.5
-50.0,-49.5
-50.0,-49.5
-50.0,-49.8
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-49.0,-49.9
-38.0,-48.7
-50.0,-48.7
-50.0,-48.7
-50.0,-48.7
-50.0,-48.7
-43.0,-48.0
-41.0,-47.1
-50.0,-47.1
-50.0,-47.1
-46.0,-46.8
-48.0,-47.8
-50.0,-47.8
-38.0,-46.6
-44.0,-46.0
-42.0,-45.2
-50.0,-45.9
-36.0,-45.4
-45.0,-44.9
-26.0,-42.5
-6.0,-38.5
-46.0,-38.3
-10.0,-34.3
-50.0,-35.5
-26.0,-33.7
-19.0,-31.4
-41.0,-30.5
-37.0,-30.6
-42.0,-30.3
-24.0,-30.1
-50.0,-34.5
-47.0,-34.6
-50.0,-38.6
-24.0,-36.0
-50.0,-38.4
-17.0,-38.2
-34.0,-37.5
-50.0,-38.8
-25.0,-37.1
-50.0,-39.7
-13.0,-36.0
-9.0,-32.2
-27.0,-29.9
0.0,-27.5
-14.0,-23.9
-36.0,-25.8
-35.0,-25.9
-50.0,-25.9
-33.0,-26.7
-10.0,-22.7
-4.0,-21.8
-36.0,-24.5
-15.0,-23.3
-16.0,-24.9
-47.0,-28.2
-39.0,-28.5
-50.0,-30.0
-33.0,-28.3
-4.0,-25.4
-4.0,-24.8
-24.0,-26.8
-1.0,-23.3
-26.0,-24.4
-4.0,-23.2
-13.0,-19.8
-36.0,-19.5
-33.0,-17.8
-50.0,-19.5
-5.0,-19.6
-47.0,-23.9
-6.0,-22.1
-35.0,-25.5
-50.0,-27.9
-3.0,-27.8
-11.0,-27.6
-40.0,-28.0
-6.0,-25.3
-5.0,-20.8
-9.0,-21.2
-13.0,-17.8
-5.0,-17.7
-15.0,-15.7
-5.0,-11.2
-9.0,-11.8
-5.0,-11.2
-29.0,-10.1
-3.0,-9.8
-5.0,-9.8
-5.0,-9.4
-2.0,-8.3
-43.0,-12.1
-50.0,-15.6
-6.0,-15.7
-7.0,-15.5
-6.0,-15.6
-50.0,-17.7
-7.0,-18.1
-3.0,-17.9
-4.0,-17.8
-7.0,-18.3
-7.0,-14.7
-7.0,-10.4
-2.0,-10.0
-2.0,-9.5
-6.0,-9.5
-3.0,-4.8
-5.0,-4.6
-50.0,-9.3
-50.0,-13.9
-2.0,-13.4
-2.0,-12.9
-5.0,-12.7
-4.0,-12.9
-9.0,-13.6
-50.0,-18.0
-4.0,-18.1
-50.0,-22.6
-39.0,-21.5
-3.0,-16.8
-48.0,-21.4
-3.0,-21.5
-3.0,-21.3
-50.0,-25.9
-42.0,-29.2
-47.0,-28.9
-1.0,-28.6
-45.0,-28.1
-1.0,-24.3
-3.0,-24.3
-3.0,-19.8
-48.0,-24.3
-47.0,-28.7
-21.0,-25.8
-48.0,-26.4
-50.0,-26.7
-1.0,-26.7
-2.0,-22.4
-46.0,-26.9
-50.0,-31.6
-50.0,-36.3
-50.0,-36.5
-50.0,-36.8
-50.0,-39.7
-50.0,-39.9
-19.0,-36.8
-49.0,-41.6
-47.0,-46.1
-50.0,-46.5
0.0,-41.5
-50.0,-41.5
-3.0,-36.8
-50.0,-36.8
-28.0,-34.6
-47.0,-34.3
-50.0,-37.4
-5.0,-33.0
-50.0,-33.3
-50.0,-33.3
-1.0,-33.4
-5.0,-28.9
-3.0,-28.9
-50.0,-28.9
0.0,-26.1
-1.0,-21.5
-50.0,-21.5
-5.0,-21.5
-45.0,-21.0
-6.0,-16.6
-1.0,-16.6
-50.0,-21.1
-1.0,-20.9
-1.0,-16.0
-1.0,-16.1
-3.0,-16.3
-43.0,-15.6
-2.0,-15.3
-5.0,-11.3
-50.0,-15.7
-3.0,-15.9
-2.0,-11.1
-50.0,-16.0
-3.0,-16.2
-1.0,-16.2
-50.0,-20.9
-3.0,-16.9
-22.0,-18.9
-3.0,-18.7
-50.0,-18.7
-50.0,-23.4
-1.0,-23.3
-50.0,-23.3
-46.0,-27.6
-33.0,-30.8
-1.0,-25.9
-50.0,-30.6
-3.0,-28.7
-3.0,-28.7
-3.0,-24.0
-5.0,-19.5
-50.0,-24.4
-3.0,-19.7
-44.0,-19.5
-4.0,-16.6
-50.0,-21.5
-48.0,-21.3
-3.0,-21.3
-49.0,-25.9
-50.0,-30.6
-3.0,-30.4
-48.0,-30.2
-15.0,-31.4
-50.0,-32.0
-50.0,-36.6
-48.0,-36.4
-4.0,-32.0
-4.0,-32.1
-50.0,-32.2
-50.0,-32.2
-50.0,-36.9
-47.0,-36.8
-3.0,-35.6
-50.0,-35.6
-50.0,-35.6
-50.0,-35.8
-50.0,-40.4
-50.0,-45.0
-3.0,-40.3
-50.0,-40.3
-49.0,-40.2
-49.0,-40.4
-50.0,-45.1
-47.0,-44.8
-50.0,-44.8
-50.0,-44.8
-1.0,-39.9
-1.0,-35.0
-3.0,-35.0
-3.0,-30.3
-5.0,-25.9
0.0,-21.0
-5.0,-16.5
-3.0,-12.1
0.0,-7.1
-2.0,-2.3
-2.0,-2.4
-2.0,-2.5
-3.0,-2.5
0.0,-2.2
-2.0,-1.9
-3.0,-2.2
-3.0,-2.0
-2.0,-1.9
-3.0,-2.2
-3.0,-2.3
-3.0,-2.4
-1.0,-2.3
-2.0,-2.2
-1.0,-2.3
-2.0,-2.3
-2.0,-2.2
-3.0,-2.2
-3.0,-2.3
0.0,-2.0
-2.0,-1.9
-2.0,-1.8
-3.0,-2.0
-3.0,-2.1
-2.0,-2.2
-2.0,-2.2
-2.0,-2.2
-1.0,-2.0
-3.0,-2.0
-2.0,-2.2
-3.0,-2.3
-2.0,-2.3
-2.0,-2.2
-2.0,-2.1
0.0,-1.9
-3.0,-2.0
-2.0,-2.0
0.0,-1.9
-2.0,-1.8
-2.0,-1.8
-2.0,-1.7
-4.0,-1.9
-2.0,-1.9
-1.0,-1.8
-2.0,-2.0
-2.0,-1.9
-2.0,-1.9
-1.0,-2.0
-3.0,-2.1
-3.0,-2.2
-3.0,-2.3
-2.0,-2.1
-2.0,-2.1
-1.0,-2.1
-2.0,-2.1
-2.0,-2.1
-3.0,-2.2
-3.0,-2.4
-1.0,-2.2
-2.0,-2.1
-1.0,-1.9
-3.0,-2.0
-2.0,-2.0
0.0,-1.9
-1.0,-1.8
-1.0,-1.7
-3.0,-1.7
-2.0,-1.6
-2.0,-1.7
-2.0,-1.7
-2.0,-1.8
-2.0,-1.7
-2.0,-1.7
-1.0,-1.8
-2.0,-1.9
-3.0,-2.1
0.0,-1.8
