rewards,avg_rewards
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-48.0,-49.8
-50.0,-49.8
-50.0,-49.8
-50.0,-49.8
-50.0,-49.8
-50.0,-49.8
-50.0,-49.8
-39.0,-48.7
-41.0,-47.8
-34.0,-46.2
-50.0,-46.4
-50.0,-46.4
-50.0,-46.4
-30.0,-44.4
-50.0,-44.4
-50.0,-44.4
-50.0,-44.4
-42.0,-44.7
-47.0,-45.3
-50.0,-46.9
-50.0,-46.9
-50.0,-46.9
-50.0,-46.9
-50.0,-48.9
-50.0,-48.9
-44.0,-48.3
-50.0,-48.3
-46.0,-48.7
-50.0,-49.0
-35.0,-47.5
-48.0,-47.3
-17.0,-44.0
-50.0,-44.0
-50.0,-44.0
-49.0,-43.9
-50.0,-44.5
-50.0,-44.5
-16.0,-41.5
-41.0,-40.6
-33.0,-40.4
-50.0,-40.6
-23.0,-41.2
-50.0,-41.2
-50.0,-41.2
-49.0,-41.2
-45.0,-40.7
-35.0,-39.2
-31.0,-40.7
-50.0,-41.6
-49.0,-43.2
-2.0,-38.4
-39.0,-40.0
-38.0,-38.8
-37.0,-37.5
-50.0,-37.6
-5.0,-33.6
-27.0,-32.8
-30.0,-32.7
-7.0,-28.4
-15.0,-25.0
-45.0,-29.3
-44.0,-29.8
-3.0,-26.3
-9.0,-23.5
-7.0,-19.2
-26.0,-21.3
-2.0,-18.8
-4.0,-16.2
-4.0,-15.9
-24.0,-16.8
-27.0,-15.0
-22.0,-12.8
-12.0,-13.7
-8.0,-13.6
-24.0,-15.3
-35.0,-16.2
-6.0,-16.6
-38.0,-20.0
-4.0,-20.0
-40.0,-21.6
-37.0,-22.6
-41.0,-24.5
-50.0,-28.3
-29.0,-30.4
-12.0,-29.2
-6.0,-26.3
-46.0,-30.3
-4.0,-26.9
-4.0,-26.9
-1.0,-23.0
-45.0,-23.8
-7.0,-20.4
-1.0,-15.5
-36.0,-16.2
-5.0,-15.5
-5.0,-15.4
-4.0,-11.2
-25.0,-13.3
-4.0,-13.3
0.0,-13.2
-6.0,-9.3
-3.0,-8.9
-5.0,-9.3
-3.0,-6.0
-8.0,-6.3
-3.0,-6.1
-5.0,-6.2
-40.0,-7.7
-4.0,-7.7
-50.0,-12.7
-13.0,-13.4
0.0,-13.1
-4.0,-13.0
0.0,-12.7
-43.0,-16.2
-46.0,-20.5
-43.0,-24.3
-31.0,-23.4
-3.0,-23.3
-39.0,-22.2
-5.0,-21.4
-2.0,-21.6
-48.0,-26.0
-1.0,-26.1
-3.0,-22.1
-25.0,-20.0
-3.0,-16.0
-50.0,-17.9
-50.0,-22.6
-50.0,-23.7
-50.0,-28.2
-50.0,-33.0
-50.0,-33.2
-50.0,-38.1
-43.0,-42.1
-50.0,-44.6
-50.0,-49.3
-50.0,-49.3
-50.0,-49.3
-50.0,-49.3
-45.0,-48.8
-46.0,-48.4
-35.0,-46.9
-3.0,-42.2
-22.0,-40.1
-3.0,-35.4
-4.0,-30.8
-2.0,-26.0
-1.0,-21.1
-5.0,-16.6
-2.0,-12.3
-1.0,-7.8
-2.0,-4.5
-5.0,-4.7
-3.0,-2.8
-4.0,-2.9
-4.0,-2.9
-3.0,-3.0
-1.0,-3.0
-2.0,-2.7
-3.0,-2.8
-1.0,-2.8
0.0,-2.6
-2.0,-2.3
-3.0,-2.3
-3.0,-2.2
-3.0,-2.1
-2.0,-2.0
-2.0,-2.1
-4.0,-2.3
-2.0,-2.2
-2.0,-2.3
-34.0,-5.7
-12.0,-6.7
-47.0,-11.1
-3.0,-11.1
-1.0,-10.9
-3.0,-11.0
0.0,-10.8
-3.0,-10.7
0.0,-10.5
-50.0,-15.3
-2.0,-12.1
-2.0,-11.1
-2.0,-6.6
-1.0,-6.4
-3.0,-6.6
-1.0,-6.4
-20.0,-8.4
-9.0,-9.0
-1.0,-9.1
-2.0,-4.3
-49.0,-9.0
-2.0,-9.0
-1.0,-8.9
-1.0,-8.9
-2.0,-8.8
-2.0,-8.9
-2.0,-7.1
0.0,-6.2
-2.0,-6.3
-2.0,-6.3
-3.0,-1.7
-3.0,-1.8
0.0,-1.7
-3.0,-1.9
-5.0,-2.2
-2.0,-2.2
-3.0,-2.3
-22.0,-4.5
-12.0,-5.5
-2.0,-5.5
-3.0,-5.5
-24.0,-7.6
-1.0,-7.7
-2.0,-7.6
-4.0,-7.5
-1.0,-7.4
-2.0,-7.3
-3.0,-5.4
-3.0,-4.5
-2.0,-4.5
-3.0,-4.5
-2.0,-2.3
-2.0,-2.4
-2.0,-2.4
-2.0,-2.2
-2.0,-2.3
-2.0,-2.3
-21.0,-4.1
-2.0,-4.0
-2.0,-4.0
-3.0,-4.0
0.0,-3.8
-2.0,-3.8
-3.0,-3.9
-3.0,-4.0
0.0,-3.8
0.0,-3.6
-2.0,-1.7
-3.0,-1.8
-3.0,-1.9
-4.0,-2.0
-1.0,-2.1
-5.0,-2.4
0.0,-2.1
-1.0,-1.9
-2.0,-2.1
-3.0,-2.4
-3.0,-2.5
-4.0,-2.6
-3.0,-2.6
-2.0,-2.4
0.0,-2.3
-2.0,-2.0
-1.0,-2.1
-2.0,-2.2
-3.0,-2.3
-2.0,-2.2
-1.0,-2.0
-3.0,-1.9
-6.0,-2.2
-3.0,-2.3
-3.0,-2.6
-3.0,-2.7
-2.0,-2.8
-2.0,-2.8
-2.0,-2.7
-2.0,-2.7
-1.0,-2.7
-4.0,-2.8
-3.0,-2.5
-1.0,-2.3
0.0,-2.0
-3.0,-2.0
-3.0,-2.1
-3.0,-2.2
0.0,-2.0
-3.0,-2.1
-2.0,-2.2
-2.0,-2.0
-1.0,-1.8
-2.0,-1.9
-8.0,-2.7
0.0,-2.4
-1.0,-2.2
-3.0,-2.2
-1.0,-2.3
-2.0,-2.2
0.0,-2.0
-2.0,-2.0
-2.0,-2.1
-2.0,-2.1
-2.0,-1.5
-7.0,-2.2
-1.0,-2.2
-50.0,-6.9
-3.0,-7.1
-2.0,-7.1
0.0,-7.1
-3.0,-7.2
-2.0,-7.2
-1.0,-7.1
-1.0,-7.0
0.0,-6.3
-3.0,-6.5
-1.0,-1.6
-3.0,-1.6
-2.0,-1.6
-3.0,-1.9
0.0,-1.6
-3.0,-1.7
-50.0,-6.6
-2.0,-6.7
-3.0,-7.0
-3.0,-7.0
-2.0,-7.1
-2.0,-7.0
-2.0,-7.0
-8.0,-7.5
-3.0,-7.8
-3.0,-7.8
-2.0,-3.0
-2.0,-3.0
-1.0,-2.8
-3.0,-2.8
-1.0,-2.7
-3.0,-2.8
-4.0,-3.0
0.0,-2.2
0.0,-1.9
-2.0,-1.8
-3.0,-1.9
-2.0,-1.9
-3.0,-2.1
-2.0,-2.0
-2.0,-2.1
-2.0,-2.0
-2.0,-1.8
-4.0,-2.2
-2.0,-2.4
-1.0,-2.3
-1.0,-2.1
-1.0,-2.0
-3.0,-2.0
-3.0,-2.1
-2.0,-2.1
-1.0,-2.0
-2.0,-2.0
-1.0,-1.7
-3.0,-1.8
-1.0,-1.8
-2.0,-1.9
-2.0,-2.0
-4.0,-2.1
-3.0,-2.1
-3.0,-2.2
-3.0,-2.4
0.0,-2.2
